"jsonkey_HUC_12"	"rdfs:type"	"schema:name"	"sosa:hasResult@id"	"sosa:hasFeatureOfInterest"	"sosa:hasResult@type"
"070200121110"	"sosa:Observation"	"Flow observation for  Minnesota River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=05330920"	"elfie/usgs/nwissite/uswb/05330920_|_elfie/usgs/huc12pp/uswb/070200121110"	"wml2:MeasurementTimeseries"
"070700051701"	"sosa:Observation"	"Flow observation for  Indian Creek-Wisconsin River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=05407000"	"elfie/usgs/nwissite/uswb/05407000_|_elfie/usgs/huc12pp/uswb/070700051701"	"wml2:MeasurementTimeseries"
"031601130201"	"sosa:Observation"	"Flow observation for  Mill Creek-Black Warrior River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=02465000"	"elfie/usgs/nwissite/uswb/02465000_|_elfie/usgs/huc12pp/uswb/031601130201"	"wml2:MeasurementTimeseries"
"160201020603"	"sosa:Observation"	"Flow observation for  West Weber-Weber River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=10141000"	"elfie/usgs/nwissite/uswb/10141000_|_elfie/usgs/huc12pp/uswb/160201020603"	"wml2:MeasurementTimeseries"
"020401050911"	"sosa:Observation"	"Flow observation for  Buck Creek-Delaware River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=01463500"	"elfie/usgs/nwissite/uswb/01463500_|_elfie/usgs/huc12pp/uswb/020401050911"	"wml2:MeasurementTimeseries"
"102600080802"	"sosa:Observation"	"Flow observation for  Deer Creek-Smoky Hill River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=06877600"	"elfie/usgs/nwissite/uswb/06877600_|_elfie/usgs/huc12pp/uswb/102600080802"	"wml2:MeasurementTimeseries"
"180201041203"	"sosa:Observation"	"Flow observation for  Packer Lake-Sacramento River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=11390500"	"elfie/usgs/nwissite/uswb/11390500_|_elfie/usgs/huc12pp/uswb/180201041203"	"wml2:MeasurementTimeseries"
"170601080803"	"sosa:Observation"	"Flow observation for  Palouse Lake"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=13351000"	"elfie/usgs/nwissite/uswb/13351000_|_elfie/usgs/huc12pp/uswb/170601080803"	"wml2:MeasurementTimeseries"
"150302040410"	"sosa:Observation"	"Flow observation for  Bill Williams River-Lake Havasu"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=09426620"	"elfie/usgs/nwissite/uswb/09426620_|_elfie/usgs/huc12pp/uswb/150302040410"	"wml2:MeasurementTimeseries"
"101102050210"	"sosa:Observation"	"Flow observation for  Appel Creek"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=06337000"	"elfie/usgs/nwissite/uswb/06337000_|_elfie/usgs/huc12pp/uswb/101102050210"	"wml2:MeasurementTimeseries"
"120302030102"	"sosa:Observation"	"Flow observation for  Fields Bayou-Trinity River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=08066500"	"elfie/usgs/nwissite/uswb/08066500_|_elfie/usgs/huc12pp/uswb/120302030102"	"wml2:MeasurementTimeseries"
"130201011304"	"sosa:Observation"	"Flow observation for  Los Alamos Canyon-Rio Grande"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=08313000"	"elfie/usgs/nwissite/uswb/08313000_|_elfie/usgs/huc12pp/uswb/130201011304"	"wml2:MeasurementTimeseries"
"051202021001"	"sosa:Observation"	"Flow observation for  Lick Creek-White River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=03374000"	"elfie/usgs/nwissite/uswb/03374000_|_elfie/usgs/huc12pp/uswb/051202021001"	"wml2:MeasurementTimeseries"
"051302050708"	"sosa:Observation"	"Flow observation for  Demumbers Creek-Cumberland River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=03438220"	"elfie/usgs/nwissite/uswb/03438220_|_elfie/usgs/huc12pp/uswb/051302050708"	"wml2:MeasurementTimeseries"
"050200050808"	"sosa:Observation"	"Flow observation for  Streets Run-Monongahela River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=03085000"	"elfie/usgs/nwissite/uswb/03085000_|_elfie/usgs/huc12pp/uswb/050200050808"	"wml2:MeasurementTimeseries"
"140100051906"	"sosa:Observation"	"Flow observation for  May Flat-Colorado River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=09163500"	"elfie/usgs/nwissite/uswb/09163500_|_elfie/usgs/huc12pp/uswb/140100051906"	"wml2:MeasurementTimeseries"
"100301012008"	"sosa:Observation"	"Flow observation for  Log Gulch-Missouri River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=06066500"	"elfie/usgs/nwissite/uswb/06066500_|_elfie/usgs/huc12pp/uswb/100301012008"	"wml2:MeasurementTimeseries"
"170900120202"	"sosa:Observation"	"Flow observation for  Balch Creek-Willamette River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=14211720"	"elfie/usgs/nwissite/uswb/14211720_|_elfie/usgs/huc12pp/uswb/170900120202"	"wml2:MeasurementTimeseries"
"180400012103"	"sosa:Observation"	"Flow observation for  Shag Slough-San Joaquin River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=11261500"	"elfie/usgs/nwissite/uswb/11261500_|_elfie/usgs/huc12pp/uswb/180400012103"	"wml2:MeasurementTimeseries"
"010300032404"	"sosa:Observation"	"Flow observation for  Riggs Branch-Kennebec River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=01049265"	"elfie/usgs/nwissite/uswb/01049265_|_elfie/usgs/huc12pp/uswb/010300032404"	"wml2:MeasurementTimeseries"
"102200031006"	"sosa:Observation"	"Flow observation for  Big Slough-Elkhorn River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=06800500"	"elfie/usgs/nwissite/uswb/06800500_|_elfie/usgs/huc12pp/uswb/102200031006"	"wml2:MeasurementTimeseries"
"071000091206"	"sosa:Observation"	"Flow observation for  Coppers Creek-Des Moines River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=05490500"	"elfie/usgs/nwissite/uswb/05490500_|_elfie/usgs/huc12pp/uswb/071000091206"	"wml2:MeasurementTimeseries"
"030701060405"	"sosa:Observation"	"Flow observation for  Penholoway Swamp-Altamaha River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=02226000"	"elfie/usgs/nwissite/uswb/02226000_|_elfie/usgs/huc12pp/uswb/030701060405"	"wml2:MeasurementTimeseries"
"030300050405"	"sosa:Observation"	"Flow observation for  Mitchell Landing-Cape Fear River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=02105769"	"elfie/usgs/nwissite/uswb/02105769_|_elfie/usgs/huc12pp/uswb/030300050405"	"wml2:MeasurementTimeseries"
"110100040606"	"sosa:Observation"	"Flow observation for  Betsey Gill Creek-White River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=07061000"	"elfie/usgs/nwissite/uswb/07061000_|_elfie/usgs/huc12pp/uswb/110100040606"	"wml2:MeasurementTimeseries"
"100800071208"	"sosa:Observation"	"Flow observation for  Antelope Creek-Bighorn River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=06274300"	"elfie/usgs/nwissite/uswb/06274300_|_elfie/usgs/huc12pp/uswb/100800071208"	"wml2:MeasurementTimeseries"
"150100120904"	"sosa:Observation"	"Flow observation for  Anderson Wash-Muddy River"	"https://waterservices.usgs.gov/nwis/dv/?format=waterml,2.0&parameterCd=00060&sites=09419507"	"elfie/usgs/nwissite/uswb/09419507_|_elfie/usgs/huc12pp/uswb/150100120904"	"wml2:MeasurementTimeseries"
